english|french
Ranging game space|Espace jeu à portée
Ranging pedestals|Piédestaux à portée
Rapids?|Rapides ?
Rare Flowers|Fleurs rares
Rat|Rat
Rat trap|Piège à rats
Rat wheel|Roue à rats
Rat-hole|Trou de rat
Recess|Renfoncement
Recruiting board|Tableau de recrutement
Recurrent damage|Dégâts récurrents
Red Star Fungi|Champignons étoiles rouges
Red Water Sign|Signe d'eau rouge
Red banner|Bannière rouge
Red chemical|Produit chimique rouge
Red door|Porte rouge
Red flowers|Fleurs rouges
Red fungi|Champignons rouges
Red hibiscus|Hibiscus rouge
Red mist|Brouillard rouge
Red pumpkins|Citrouilles rouges
Red rose bush patch|Patch de rosiers rouges
Red spice|Épice rouge
Redberry bush|Buisson de baies rouges
Redwood birdhouse|Nichoir en séquoia
Redwood fence|Clôture en séquoia
Redwood slices|Tranches de séquoia
Redwood totem|Totem en séquoia
Redwood tree|Séquoia
Reeds|Roseaux
Refiner|Raffineur
Refinery|Raffinerie
Regal chair|Chaise royale
Regal table|Table royale
Reinforced chest|Coffre renforcé
Reinitialisation Panel|Panneau de réinitialisation
Rejuvenation pool|Bassin de rajeunissement
Remnant|Vestige
Repair bench|Banc de réparation
Repair space|Espace de réparation
Repaired Roof|Toit réparé
Repaired leak|Fuite réparée
Repaired wall|Mur réparé
Reset Lever|Levier de réinitialisation
Resper mushrooms|Champignons Resper
Restoration pool|Bassin de restauration
Restraining Table|Table de contention
Restraining table|Table de contention
Restraint Table|Table de contention
Restraint table|Table de contention
Retort|cornue
Retorts|Cornues
Return Orb|Orbe de retour
Revenant Maledictus Display|Affichage Revenant Maledictus
Revitalisation pool|Bassin de revitalisation
Reward Cart|Chariot de récompenses
Reward Chest|Coffre de récompenses
Reward chest|Coffre de récompenses
Reward pool|Bassin de récompenses
Rewards Chest|Coffre de récompenses
Rewards Guardian|Gardien des récompenses
Rewards Niche|Niche de récompenses
Rewards chest|Coffre de récompenses
Rickety door|Porte branlante
Rift|Faille
Right side of a fireplace|Côté droit d'une cheminée
Ring of Stones|Cercle de pierres
Rinsing pool|Bassin de rinçage
Rio the Parrot|Rio le perroquet
Ripples|Ondulations
River|Rivière
Rock|Roche
Rock Chair|Fauteuil à bascule
Rock Formation|Formation rocheuse
Rock Pile|Tas de pierres
Rock of Colbansea|Roche de Colbansea
Rock of Dalgroth|Roche de Dalgroth
Rock slide|Éboulement
Rockery|Rocaille
Rockfall|Chute de pierres
Rocking chair|Fauteuil à bascule
Rocking unicorn|Licorne à bascule
Rockpile|Tas de pierres
Rocks|Rochers
Rockslide|Éboulement
Rocky Ledge|corniche rocheuse
Rocky handholds|prises rocheuses
Rocky outcrop|affleurement rocheux
Rocky shore|rive rocheuse
Rocky support|support rocheux
Rocky surface|surface rocheuse
Rocnar|Rocnar
Rolled up rug|Tapis enroulé
Rolled up rugs|Tapis enroulés
Roof Entrance|Entrée par le toit
Roof Exit|Sortie par le toit
Roof edge|Bord du toit
Roof top beams|Poutres du toit
Rooftop Agility display|Agilité sur le toit
Room number|Numéro de chambre
Root|Racine
Roots|Racines
Rope|Corde
Rope anchor|Ancrage de corde
Rope bell-pull|Cordon de sonnette
Rope bridge|Pont de corde
Rope ladder|Échelle de corde
Rope swing|Balançoire à corde
Rope trawling net|Filet de pêche à la corde
Ropes|Cordes
Ropeswing|Balançoire à corde
Rose|Rose
Rose bush|Rosier
Rosebush|Rosier
Rosemary|Romarin
Roses|Roses
Rosewood Pyre|Bûcher en bois de rose
Rosewood cargo hold|Cale en bois de rose
Rosewood hull|Coque en bois de rose
Rosewood mast and cotton sails|Mât en bois de rose et voiles en coton
Rosewood tree|Arbre en bois de rose
Rotten Apple Pile|Tas de pommes pourries
Rotten sapling|Jeune arbre pourri
Rotten village fence|Clôture de village pourrie
Rotting branch|Branche pourrie
Rotting leaves|Feuilles pourries
Rotting log|Bûche pourrie
Rotting tree|Arbre pourri
Rough wall|Mur rugueux
Rough-looking bush|Buisson à l'aspect rugueux
Round shield|Bouclier rond
Round table|Table ronde
Row boat|Barque
Rowboat|Barque
Rowboat space|Espace pour barque
Royal Accord of Twill|Accord royal de Twill
Royal Wedding Invitation|Invitation au mariage royal
Royal throne|Trône royal
Rubber cap mushroom|Champignon à chapeau caoutchouteux
Rubble|Débris
Rubble Pile|Tas de débris
Rug|Tapis
Rug space|Espace pour tapis
Ruined Monument|Monument en ruines
Ruined Pillar|Pilier en ruine
Ruined stall|Étal en ruine
Rum Crate|Caisse de rhum
Rune Essence|Essence runique
Rune cannon|Canon runique
Rune case 1|Coffret runique 1
Rune case 2|Coffret runique 2
Rune case 3|Coffret runique 3
Rune case space|Espace pour coffret runique
Rune dragon|Dragon runique
Rune helm|Casque runique
Rune keel|Quille runique
Rune salvaging hook|Crochet de sauvetage runique
Rune temple sign|Enseigne du temple runique
Runestone basalt|Basalte runique
Runic Altar|Autel runique
Runic shield generator|Générateur de bouclier runique
Runite Minor|Runite mineure
Runite armour|Armure runique
Runite rocks|Roches runiques
Runner trap|Piège à coureurs
Rusted anvil|Enclume rouillée
Rusty chest|Coffre rouillé
S.t.a.s.h chart|Carte S.t.a.s.h.
Sabotaged mooring point|Point d'amarrage saboté
Sack|Sac
Sack of grapes|Sac de raisins
Sack of raisins|Sac de raisins secs
Sack pile|Pile de sacs
Sacks|Sacs
Sacred Bone Burner|Brûleur d'os sacré
Sacred Forge|Forge sacrée
Sacred water|Eau sacrée
Sacrificial Pyre|Bûcher sacrificiel
Sacrificial boat|Bateau sacrificiel
Safe|Coffre-fort
Safe kebbit burrow|Terrier de kebbit sécurisé
Sailfish|Poisson voilier
Sailors' Marker|Marqueur de marins
Sails|Voiles
Salt Deposit|Gisement de sel
Saltpetre|Salpêtre
Salvaging hook|Crochet de sauvetage
Salvaging station|Station de sauvetage
Salve Graveyard Portal|Portail du cimetière Salve
Sample table|Table d'échantillons
Sand|Sable
Sand pile|Pile de sable
Sand pit|Carrière de sable
Sand storage|Stockage de sable
Sandstone rocks|Rochers de grès
Sandstorm|Tempête de sable
Sandworm castings|Excréments de ver des sables
Sandy's Coffee Mug|Tasse à café de Sandy
Sandy's Desk|Bureau de Sandy
Santa's log|Journal du Père Noël
Sapling|Jeune arbre
Saradomin Brazier|Brasero de Saradomin
Saradomin Portal|Portail de Saradomin
Saradomin altar|Autel de Saradomin
Saradomin icon|Icône de Saradomin
Saradomin staff|Bâton de Saradomin
Saradomin star|Étoile de Saradomin
Saradomin symbol|Symbole de Saradomin
Sarah|Sarah
Sarcophagus|Sarcophage
Scabaras statue|Statue de Scabaras
Scaffold|Échafaud
Scarecrow|Épouvantail
Scaregull|Mouette effrayeuse
Schematic crate|Caisse schématique
Scimitar Stall|Étal de cimeterres
Scorched earth|Terre brûlée
Scorching brazier|Brasero brûlant
Score board|Tableau d'affichage
Scoreboard|Tableau d'affichage
Scrapey Bark Sign|Panneau en écorce de Scrapey
Scrapey tree|Arbre de Scrapey
Scratching post space|Espace pour griffoir
Screen|Écran
Scroll table|Table à parchemins
Scrolls|Parchemins
Scruffy's Grave|Tombe de Scruffy
Scrying pool|Bassin divinatoire
Sculpture|Sculpture
Scuttle|Scuttle
Seagull Nest|Nid de mouettes
Seal of Amlodd|Sceau d'Amlodd
Seal of Cadarn|Sceau de Cadarn
Seal of Crwys|Sceau de Crwys
Seal of Hefin|Sceau de Hefin
Seal of Iorwerth|Sceau d'Iorwerth
Seal of Ithell|Sceau d'Ithell
Seal of Meilyr|Sceau de Meilyr
Seal of Trahaearn|Sceau de Trahaearn
Seal of the Forgotten|Sceau des Oubliés
Sealed crate|Caisse scellée
Seating space|Espace pour s'asseoir
Seaweed|Algues
Seaweed Pile|Tas d'algues
Secret Door|Porte secrète
Secret entrance|Entrée secrète
Secure chest|Coffre sécurisé
Security Barrier|Barrière de sécurité
Seed Stall|Étal de graines
Seed table|Table de graines
Seed vault|Chambre forte de graines
Seers weathervane|Girouette des voyants
Seers' Village Portal|Portail du village des voyants
Senntisten Portal|Portail de Senntisten
Septic tendrils|Vignes septiques
Servant's money bag|Sac d'argent du serviteur
Seven|Sept
Sewage water|Eaux usées
Sewer pipe|Tuyau d'égout
Sewer valve|Vanne d'égout
Shackle table|Table de chaînes
Shades of Mort'ton Rework Display|Ombres de Mort'ton Refonte de l'affichage
Shadow crystal|Cristal d'ombre
Shadow pool|Bassin d'ombre
Shantay pass|Col de Shantay
Sharhai's purse|Bourse de Sharhai
Shark corpse|Cadavre de requin
Sharp rock|Roche acérée
Shattered League Display|Présentoir de la Ligue brisée
Shaving stand|Support à rasoir
Shelf|Étagère
Shelf of thread|Étagère à fils
Shelf space|Espace d'étagère
Shelves|Étagères
Shelves space|Espace d'étagères
Shield|Bouclier
Shield Display|Présentoir de bouclier
Shield display|Présentoir de bouclier
Shield easel|Chevalet de bouclier
Shielded statue|Statue protégée
Shifter corpse|Cadavre de changeant
Shimmering barrier|Barrière scintillante
Shimmering field|Champ scintillant
Shimmering shoal|Banc scintillant
Shining pool|Bassin brillant
Ship in a bottle|Bateau en bouteille
Ship's wheel|Barre à roue
Shipwrights' Workbench|Établi de charpentier de marine
Shipyard Portal|Portail du chantier naval
Shoe box|Boîte à chaussures
Shooting Star Display|Présentoir d'étoile filante
Shooting Star Noticeboard|Tableau d'affichage d'étoile filante
Shop Counter|Comptoir de boutique
Shop counter|Comptoir de boutique
Short fence|Clôture courte
Short plant|Plante courte
Shortcut|Raccourci
Shot|Coup de feu
Shrine|Sanctuaire
Shrine of Ralos|Sanctuaire de Ralos
Shrine of Twilight|Sanctuaire du Crépuscule
Shrivelled plant|Plante flétrie
Shuttered window|Fenêtre à volets
Sickle logo|Logo en forme de faucille
Sign|Panneau
Sign post|Panneau indicateur
Signpost|Panneau de signalisation
Silk stall|Étal de soie
Silver Chest|Coffre en argent
Silver rocks|Rochers en argent
Silver stall|Étal en argent
Silverlight|Lumière argentée
Simple arena|Arène simple
Simple stove|Poêle simple
Sinclair family beehive|Ruche de la famille Sinclair
Sinclair family compost heap|Tas de compost de la famille Sinclair
Sinclair family crest|Armoiries de la famille Sinclair
Sinclair family fountain|Fontaine de la famille Sinclair
Sinclair mansion drain|Égout du manoir Sinclair
Singing Bowl|Bol chantant
Singing bowl|Bol chantant
Sinister barrel|Tonneau sinistre
Sinister chest|Coffre sinistre
Sink|Évier
Sink space|Espace évier
Sir Amik Varze|Sir Amik Varze
Six|Six
Skeletal remains|Restes squelettiques
Skeleton|Squelette
Skeleton guard|Garde squelette
Skeleton throne|Trône squelette
Skotizo display|Présentoir Skotizo
Skrach Uglogwee|Skrach Uglogwee
Skroom|Skroom
Skull slope|Pente crânienne
Skull torches|Torches crâniennes
Skulls|Crânes
Skullshield|Bouclier crânien
Slab|Dalle
Slashed bush|Buisson tailladé
Slashed tapestry|Tapisserie tailladée
Slayer Helmet display case|Vitrine du casque du tueur
Slayer's Respite|Répit du tueur
Sled|Traîneau
Slight indentations|Légères indentations
Slightly dark crystal|Cristal légèrement sombre
Slimy residue|Résidus visqueux
Slope|Pente
Slug goo|Bave d'escargot
Sluice Gate|Vanne
Small Fossil Display|Petite exposition de fossiles
Small Plant space 1|Petit espace végétal 1
Small Plant space 2|Petit espace végétal 2
Small boat|Petit bateau
Small box|Petite boîte
Small box hedge|Petite haie
Small brazier|Petit brasero
Small bush|Petit buisson
Small chest|Petit coffre
Small crystals|Petits cristaux
Small fern|Petite fougère
Small fishing net|Petit filet de pêche
Small fountain|Petite fontaine
Small furnace|Petit fourneau
Small gravestone|Petite pierre tombale
Small map|Petite carte
Small orrery|Petit planétaire
Small oven|Petit four
Small plant|Petite plante
Small plant 2|Petite plante 2
Small shipwreck|Petite épave
Small statue|Petite statue
Small storage unit|Petit espace de rangement
Smashed cage|Cage brisée
Smashed chair|Chaise brisée
Smashed table|Table brisée
Smelly hole|Trou malodorant
Smelly mushroom|Champignon malodorant
Smoke|Fumée
Smoke Cloud|Nuage de fumée
Smoke Nerve Ending|Terminaison nerveuse enfumée
Smokey well|Puits enfumé
Smoky cave|Grotte enfumée
Snape grass plant|Plante à herbe de Snape
Snow|Neige
Snow drift|Dérive de neige
Snow shark|Requin des neiges
Snowball pile|Tas de boules de neige
Snowdrop patch|Parcelle de perce-neige
Snowdrops|Perce-neige
Snowfall|Chutes de neige
Snowman|Bonhomme de neige
Snowy Bush|Buisson enneigé
Snowy bird hide|Cachette pour oiseaux enneigée
Sofa|Canapé
Soft clay rocks|Rochers d'argile molle
Soil|Sol
Solid black door|Porte noire massive
Solid bronze door|Porte en bronze massif
Solid gold door|Porte en or massif
Solid silver door|Porte en argent massif
Solid steel door|Porte en acier massif
Sorcerer's Tower Portal|Portail de la tour du sorcier
Soul Altar|Autel des âmes
Soul Devourer|Dévoreur d'âmes
Soul Obelisk|Obélisque des âmes
Soul Wars Display|Exposition des guerres des âmes
Soul Wars Portal|Portail des guerres des âmes
Soul boat|Bateau des âmes
Soul rift|Faille des âmes
Space|Espace
Spade|Pelle
Sparkling pool|Bassin scintillant
Spear wall|Mur de lances
Speartrap|Piège à lances
Specimen|Spécimen
Specimen table|Table à spécimens
Specimen tray|Plateau à spécimens
Spectator potion|Potion du spectateur
Spice Rack space|Espace pour étagère à épices
Spice rack|Étagère à épices
Spice stall|Étal d'épices
Spider eggs|Œufs d'araignée
Spiders' nest|Nid d'araignées
Spiderwebs|Toiles d'araignée
Spike|Piquet
Spike trap|Piège à piquets
Spiked cage|Cage à piquets
Spikes|Piquets
Spikey chain|Chaîne à piquets
Spin Blades|Lames tournantes
Spine mushroom|Champignon épineux
Spinning Machine|Machine à filer
Spinning blades|Lames tournantes
Spinning light|Lumière tournante
Spinning pipe|Tuyau tournant
Spinning pole|Poteau tournant
Spinning wheel|Roue à filer
Spiny bush|Buisson épineux
Spiny kraken corpse|Cadavre épineux de kraken
Spirit Angler stats|Statistiques du pêcheur spirituel
Spirit Tree|Arbre spirituel
Spirit offerings|Offrandes spirituelles
Spirit tendrils|Vignes spirituelles
Spirit tree & fairy ring|Arbre spirituel et cercle de fées
Spirit tree|Arbre spirituel
Spit roast|Rôtis à la broche
Splintered bark|Écorce éclatée
Spooky Scarecrow|Épouvantail effrayant
Spooky cauldron|Chaudron effrayant
Spooky picture|Tableau effrayant
Spooky wall lamp|Applique murale effrayante
Spore|Spore
Spotlight|Projecteur
Sprouting Roots|Racines germantes
Sq'irk tree|Arbre Sq'irk
Square shield|Bouclier carré
Stack of bricks|Pile de briques
Stacked Boxes|Boîtes empilées
Stacked barrels|Tonneaux empilés
Staff barrel|Tonneau de bâton
Staff of Bob the Cat|Bâton de Bob le chat
Staging area steps|Marchepied
Stagnant Lake|Lac stagnant
Stagnant fish display|Poisson stagnant
Stained glass|Vitrail
Stair Space|Escalier
Staircase|Escalier
Stairs|Escaliers
Stairs down|Escaliers descendants
Stairs up|Escaliers ascendants
Stairwell|Cage d'escalier
Stalactite|Stalactite
Stalagmites|Stalagmites
Stall|Étal
Stand|Support
Standing Torch|Torche sur pied
Standing spears|Lances sur pied
Standing stone|Pierre sur pied
Standing torch|Torche sur pied
Stangled Plant|Plante étranglée
Star chart|Carte du ciel
Start|Début
Statue|Statue
Statue Plinth|Socle de statue
Statue Space|Espace de statue
Statue of Atlazora|Statue d'Atlazora
Statue of Cyrisus|Statue de Cyrisus
Statue of Dizana|Statue de Dizana
Statue of Duradel|Statue de Duradel
Statue of Emperor Imafore|Statue de l'empereur Imafore
Statue of Freja|Statue de Freja
Statue of Ghommal|Statue de Ghommal
Statue of Glarial|Statue de Glarial
Statue of Guthix|Statue de Guthix
Statue of Hazelmere|Statue de Hazelmere
Statue of King Maximus|Statue du roi Maximus
Statue of Marhuitz|Statue de Marhuitz
Statue of Prince Itzla|Statue du prince Itzla
Statue of Queen Zyanyi|Statue de la reine Zyanyi
Statue of Quoatlos|Statue de Quoatlos
Statue of Saradomin|Statue de Saradomin
Statue of Sloane|Statue de Sloane
Statue of Taur|Statue de Taur
Statue of Turael|Statue de Turael
Statue of Xerna|Statue de Xerna
Statue of Zamorak|Statue de Zamorak
Statue of a king|Statue d'un roi
Statue of a queen|Statue d'une reine
Statue of a warrior|Statue d'un guerrier
Statue space|Espace pour statue
Statue steps|Marchepied pour statue
Statuette in alcove|Statuette dans une alcôve
Steam Generator|Générateur de vapeur
Steam Nerve Ending|Terminaison nerveuse à vapeur
Steam Pump|Pompe à vapeur
Steam Vent|Évent à vapeur
Steam generator|Générateur de vapeur
Steam press|Presse à vapeur
Steel Chest|Coffre en acier
Steel cage|Cage en acier
Steel candlesticks|Chandeliers en acier
Steel cannon|Canon en acier
Steel dragon|Dragon en acier
Steel framed workbench|Établi à cadre en acier
Steel helm|Casque en acier
Steel keel|Quille en acier
Steel range|Gamme en acier
Steel salvaging hook|Crochet de récupération en acier
Steel torches|Torches en acier
Steel-plated door|Porte blindée en acier
Steep roof|Toit en pente raide
Steeple|Clocheton
Stepladder|Escabeau
Stepping Stone|Pierre de gué
Stepping stone|Pierre de gué
Stepping stones|Pierres de gué
Steps|Marches
Sticks|Bâtons
Stile|Échelle
Stolen Eggs|Œufs volés
Stolen cabbage|Chou volé
Stone|Pierre
Stone Door|Porte en pierre
Stone Pew|Banc en pierre
Stone Relief|Relief en pierre
Stone Staircase|Escalier en pierre
Stone Tablet|Tablette en pierre
Stone arch|Arche en pierre
Stone block|Bloc de pierre
Stone boat|Bateau en pierre
Stone bridge|Pont en pierre
Stone chest|Coffre en pierre
Stone crate|Caisse en pierre
Stone crusher|Concasseur de pierres
Stone door|Porte en pierre
Stone fireplace|Cheminée en pierre
Stone of Jas|Pierre de Jas
